node_id	gene_symbol
610	C1ORF21
611	C1ORF210
612	C1ORF229
613	C1ORF27
614	C1ORF43
615	C1ORF54
616	C1ORF56
617	C1QBP
618	C1QTNF1
619	C1R
620	C1S
621	C20ORF202
622	C20ORF24
623	C21ORF2
624	C21ORF59
625	C2CD2
626	C2CD2L
627	C2CD4B
628	C2ORF15
629	C2ORF16
630	C3ORF33
631	C3ORF35
632	C3ORF58
633	C4ORF46
634	C5ORF22
635	C5ORF30
636	C6
637	C6ORF132
638	C6ORF163
639	C6ORF48
640	C7
641	C7ORF26
642	C7ORF50
643	C8A
644	C8ORF33
645	C8ORF46
646	C8ORF76
647	C9ORF43
648	C9ORF57
649	C9ORF78
650	C9ORF84
651	CA1
652	CA12
653	CA2
654	CA4
655	CA5A
656	CA6
657	CAB39
658	CABIN1
659	CABP1
660	CACNA1G
661	CACNA1S
662	CACNA2D2
663	CACNB3
664	CACNB4
665	CACNG6
666	CACNG7
667	CACNG8
668	CACTIN
669	CAD
670	CADM4
671	CALD1
672	CALM1
673	CALML4
674	CALR
675	CALR3
676	CALU
677	CALY
678	CAMK1
679	CAMK1D
680	CAMK2B
681	CAMK2D
682	CAMK2G
683	CAMK2N1
684	CAMKK2
685	CAMKV
686	CAND1
687	CANX
688	CAP2
689	CAPN1
690	CAPN15
691	CAPN2
692	CAPN3
693	CAPN6
694	CAPN7
695	CAPRIN1
696	CAPZB
697	CARD10
698	CARD11
699	CARD14
700	CARD16
701	CARD18
702	CARD6
703	CARD8
704	CARD9
705	CARF
706	CARHSP1
707	CARM1
708	CARMIL1
709	CARS
710	CARS2
711	CASC1
712	CASC3
713	CASP1
714	CASP14
715	CASP2
716	CASP3
717	CASP4
718	CASP5
719	CASP6
720	CASP7
721	CASP8
722	CASP8AP2
723	CASP9
724	CASQ1
725	CASS4
726	CAST
727	CATSPER1
728	CATSPERG
729	CAV1
730	CAV2
731	CAVIN1
732	CAVIN3
733	CBFB
734	CBL
735	CBLC
736	CBLL1
737	CBLN1
738	CBLN4
739	CBR1
740	CBR3
741	CBS
742	CBX4
743	CBX5
744	CC2D1A
745	CCAR1
746	CCAR2
747	CCBE1
748	CCDC112
749	CCDC115
750	CCDC117
751	CCDC12
752	CCDC120
753	CCDC124
754	CCDC130
755	CCDC138
756	CCDC14
757	CCDC144NL
758	CCDC170
759	CCDC171
760	CCDC174
761	CCDC188
762	CCDC190
763	CCDC22
764	CCDC28A
765	CCDC51
766	CCDC58
767	CCDC59
768	CCDC66
769	CCDC77
770	CCDC82
771	CCDC85B
772	CCDC88A
773	CCDC88C
774	CCDC94
